EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,EducationField,Education,HireDate,BusinessTravel,DistanceFromHome_km,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,Attrition,AttritionDate
EMP00021,50,Male,Single,Research & Development,Research Director,2,Medical,Master,2015-02-11,Travel_Frequently,5,5901,12,0,27,11,7,1,4,1,6,4,4,1,3,3,4,No,No,
EMP00022,35,Male,Married,Research & Development,Research Scientist,2,Life Sciences,College,2020-11-23,Travel_Rarely,4,5897,19,0,12,5,3,2,2,2,4,2,3,4,1,3,3,No,No,
EMP00023,38,Female,Married,Research & Development,Healthcare Representative,1,Life Sciences,College,2021-05-05,Travel_Rarely,3,2904,20,1,17,5,1,1,1,3,2,2,1,2,4,2,3,No,No,
EMP00024,24,Male,Divorced,Research & Development,Research Scientist,4,Life Sciences,College,2025-12-04,Travel_Rarely,7,15281,23,0,2,0,0,0,0,3,3,3,2,1,3,3,3,Yes,Yes,2026-06-03
EMP00025,32,Female,Divorced,Sales,Manager,1,Marketing,Doctor,2022-03-25,Travel_Frequently,20,2961,13,0,13,4,3,0,3,0,5,3,3,2,4,3,3,No,No,
EMP00026,38,Male,Married,Research & Development,Manager,1,Other,Master,2018-12-05,Travel_Rarely,8,3612,11,2,18,7,3,0,6,2,6,3,1,4,3,2,4,Yes,No,
EMP00027,27,Female,Divorced,Research & Development,Laboratory Technician,2,Medical,Master,2026-06-02,Travel_Frequently,1,5042,12,1,6,0,0,0,0,0,3,2,1,4,3,4,3,No,Yes,2026-08-09
EMP00028,40,Male,Divorced,Research & Development,Research Scientist,4,Medical,Bachelor,2016-01-13,Travel_Rarely,4,11339,18,0,19,10,9,1,4,2,2,4,1,3,3,3,3,No,No,
EMP00029,32,Male,Divorced,Research & Development,Research Scientist,1,Technical Degree,Bachelor,2019-10-20,Travel_Frequently,16,2245,20,1,9,6,3,1,5,1,2,4,3,2,4,3,3,No,No,
EMP00030,34,Male,Divorced,Sales,Sales Executive,3,Marketing,College,2022-02-23,Travel_Rarely,1,6042,16,0,16,4,1,0,3,1,3,3,2,3,4,2,3,No,No,
EMP00031,32,Female,Single,Research & Development,Manufacturing Director,3,Technical Degree,Bachelor,2023-10-15,Travel_Rarely,30,8561,21,0,9,2,1,0,1,2,2,3,4,1,4,3,3,Yes,Yes,2024-12-22
EMP00032,54,Male,Married,Research & Development,Manufacturing Director,2,Other,Bachelor,2014-12-28,Travel_Rarely,21,5837,11,1,35,11,7,1,7,0,2,3,3,4,2,3,3,No,No,
EMP00033,37,Male,Single,Research & Development,Healthcare Representative,2,Technical Degree,Bachelor,2021-12-20,Travel_Rarely,1,5407,21,1,14,4,2,1,3,1,4,2,4,1,3,2,3,No,No,
EMP00034,27,Male,Single,Sales,Sales Representative,1,Marketing,College,2021-12-27,Travel_Rarely,19,3633,19,2,7,4,1,0,1,3,3,2,3,3,2,3,4,No,No,
EMP00035,44,Male,Divorced,Sales,Sales Executive,2,Life Sciences,Doctor,2022-08-07,Travel_Rarely,3,4275,25,1,22,4,2,1,3,2,3,3,3,3,4,1,3,No,Yes,2026-04-09
EMP00036,26,Female,Married,Sales,Sales Executive,3,Life Sciences,College,2021-01-31,Travel_Rarely,13,6915,17,2,6,5,1,0,2,3,1,4,4,1,1,3,3,No,No,
EMP00037,39,Female,Married,Sales,Sales Executive,1,Marketing,Doctor,2022-12-02,Non-Travel,4,2765,20,3,17,3,2,1,3,2,4,3,3,4,1,2,3,No,No,
EMP00038,19,Female,Divorced,Research & Development,Research Scientist,2,Other,Below College,2026-02-24,Travel_Frequently,4,3836,21,1,0,0,0,0,0,3,3,2,2,2,1,2,3,No,Yes,2026-08-05
EMP00039,25,Male,Divorced,Research & Development,Manufacturing Director,1,Life Sciences,Bachelor,2025-07-05,Travel_Rarely,7,2509,13,2,2,1,0,0,0,1,2,1,3,1,2,2,3,No,No,
EMP00040,39,Female,Divorced,Research & Development,Manager,2,Other,Bachelor,2012-10-30,Travel_Frequently,10,4613,23,1,19,13,5,0,7,0,3,3,4,4,1,3,3,No,No,
EMP00041,44,Male,Single,Research & Development,Manager,2,Medical,Bachelor,2020-12-29,Travel_Rarely,1,3895,17,0,21,5,2,1,5,2,1,3,3,1,1,3,3,No,No,
EMP00042,39,Male,Single,Research & Development,Healthcare Representative,4,Other,Bachelor,2012-12-23,Travel_Rarely,6,10538,16,0,16,13,8,1,10,2,2,2,2,1,2,3,4,No,No,
EMP00043,36,Male,Married,Sales,Manager,2,Marketing,Bachelor,2019-08-19,Travel_Rarely,1,5023,13,0,17,6,2,1,3,2,4,3,1,3,1,4,3,No,No,
EMP00044,34,Male,Single,Research & Development,Research Director,1,Life Sciences,Bachelor,2021-02-12,Travel_Rarely,3,3776,18,2,11,5,2,0,3,2,2,2,3,1,4,2,3,No,No,
EMP00045,24,Female,Single,Research & Development,Laboratory Technician,1,Life Sciences,Master,2023-01-16,Travel_Frequently,3,2507,11,1,6,3,3,1,2,3,5,4,2,4,1,2,3,Yes,Yes,2025-02-25
EMP00046,31,Female,Married,Sales,Sales Representative,2,Technical Degree,Bachelor,2017-08-29,Travel_Rarely,4,5933,15,1,11,8,2,0,2,3,3,3,4,1,4,3,4,No,No,
EMP00047,33,Female,Married,Sales,Manager,2,Technical Degree,Master,2023-12-29,Travel_Frequently,3,5049,18,0,12,2,2,0,1,3,3,4,3,1,4,2,3,No,No,
EMP00048,47,Male,Married,Research & Development,Research Scientist,3,Other,College,2019-09-04,Travel_Frequently,1,7942,13,1,26,6,1,0,4,2,2,2,1,4,2,1,4,No,No,
EMP00049,40,Male,Single,Research & Development,Manager,2,Medical,Bachelor,2019-12-03,Travel_Rarely,1,5174,21,0,19,6,2,2,3,2,4,3,1,2,1,2,4,No,Yes,2022-01-24
EMP00050,21,Male,Married,Research & Development,Healthcare Representative,4,Technical Degree,Bachelor,2025-05-29,Travel_Frequently,1,8348,23,2,3,1,1,0,0,2,3,3,2,4,1,3,3,No,No,
EMP00051,40,Male,Single,Sales,Sales Executive,5,Other,Bachelor,2014-11-23,Travel_Rarely,4,15234,20,2,17,11,3,2,9,1,4,2,1,2,3,3,3,No,No,
EMP00052,34,Male,Single,Research & Development,Manager,1,Life Sciences,Bachelor,2011-12-26,Travel_Frequently,22,3671,21,1,14,14,4,2,8,2,2,3,4,1,3,4,3,Yes,No,
EMP00053,31,Male,Married,Research & Development,Healthcare Representative,3,Medical,Bachelor,2025-03-30,Travel_Rarely,1,7295,22,0,9,1,0,0,0,1,4,4,4,1,2,3,3,Yes,Yes,2026-04-07
EMP00054,43,Male,Married,Sales,Manager,1,Technical Degree,College,2021-06-11,Non-Travel,20,2334,16,0,21,5,4,0,2,2,5,3,4,2,2,3,3,No,No,
EMP00055,46,Male,Married,Research & Development,Research Director,2,Life Sciences,College,2021-12-12,Travel_Frequently,9,4823,20,0,27,4,2,0,3,1,2,3,4,3,3,3,3,No,No,
EMP00056,45,Female,Single,Sales,Manager,2,Life Sciences,Below College,2005-05-15,Travel_Rarely,7,6172,21,0,27,21,13,9,15,4,6,4,3,1,2,2,3,Yes,Yes,2006-10-10
EMP00057,29,Female,Divorced,Research & Development,Manager,3,Life Sciences,Bachelor,2023-12-25,Travel_Rarely,7,5936,12,2,9,2,1,0,1,3,2,2,4,3,4,2,3,No,No,
EMP00058,34,Female,Married,Sales,Manager,2,Life Sciences,Bachelor,2022-08-29,Travel_Rarely,12,4649,19,0,11,3,2,1,1,5,0,3,4,2,3,3,4,Yes,No,
EMP00059,40,Female,Married,Sales,Manager,4,Life Sciences,Doctor,2025-08-30,Travel_Rarely,1,14119,12,1,19,0,0,0,0,2,2,3,4,3,2,2,3,Yes,No,
EMP00060,46,Male,Married,Sales,Manager,1,Other,Master,2024-05-12,Travel_Rarely,5,3138,15,1,28,2,1,0,2,4,1,3,4,2,1,2,3,No,No,
EMP00061,33,Female,Divorced,Sales,Sales Representative,1,Marketing,Below College,2021-01-23,Travel_Frequently,8,3691,13,0,15,5,1,0,2,3,2,3,3,3,3,2,4,No,No,
EMP00062,35,Female,Married,Research & Development,Research Director,1,Other,Master,2025-02-21,Non-Travel,6,2687,20,0,15,1,0,0,0,2,1,2,1,2,2,1,3,No,Yes,2025-08-02
EMP00063,27,Male,Married,Sales,Manager,3,Other,Master,2024-04-12,Travel_Rarely,13,8458,22,3,4,2,1,0,2,0,1,4,3,1,2,2,4,Yes,No,
EMP00064,26,Male,Divorced,Research & Development,Research Scientist,1,Technical Degree,Bachelor,2025-06-05,Non-Travel,1,2412,19,0,7,1,0,0,0,1,1,2,3,4,2,3,3,No,No,
EMP00065,44,Female,Married,Sales,Sales Representative,2,Technical Degree,Bachelor,2024-05-03,Travel_Rarely,8,5488,19,1,21,2,0,0,1,0,0,3,3,3,2,2,3,No,No,
EMP00066,49,Male,Married,Sales,Sales Executive,1,Life Sciences,Doctor,2019-12-25,Travel_Rarely,5,2770,17,0,30,6,5,4,2,0,2,2,4,1,3,3,3,No,No,
EMP00067,36,Male,Married,Research & Development,Manufacturing Director,1,Other,Bachelor,2018-06-11,Travel_Rarely,3,3352,20,2,17,8,7,2,3,5,5,2,4,2,2,3,3,No,No,
EMP00068,46,Male,Married,Sales,Manager,1,Marketing,Master,2008-05-11,Travel_Frequently,3,3823,15,0,25,18,4,2,10,2,5,3,3,2,4,3,3,No,No,
EMP00069,40,Male,Single,Human Resources,HR Business Partner,1,Other,Below College,2016-03-04,Travel_Rarely,7,3539,19,1,19,10,3,0,3,5,4,3,1,4,2,3,3,Yes,Yes,2026-02-02
EMP00070,31,Male,Married,Sales,Manager,2,Technical Degree,College,2021-11-19,Travel_Rarely,16,4254,17,1,11,4,1,0,4,0,0,3,2,1,3,3,3,Yes,Yes,2023-01-10
EMP00071,40,Male,Divorced,Research & Development,Laboratory Technician,2,Medical,Bachelor,2020-10-14,Travel_Frequently,5,5253,12,0,17,5,2,1,3,1,0,1,2,3,3,2,3,Yes,Yes,2025-10-06
EMP00072,51,Male,Divorced,Research & Development,Manager,1,Medical,Bachelor,2012-09-29,Travel_Rarely,12,3396,20,0,32,13,4,2,9,3,0,3,2,3,3,3,3,No,No,
EMP00073,37,Male,Married,Research & Development,Laboratory Technician,3,Life Sciences,Master,2025-02-22,Travel_Rarely,4,8600,11,2,17,1,1,0,0,0,2,3,3,4,3,3,4,No,No,
EMP00074,51,Female,Married,Research & Development,Research Scientist,1,Other,Doctor,2016-08-08,Travel_Rarely,1,2981,20,0,32,10,3,1,7,2,6,2,1,2,2,3,3,No,No,
EMP00075,18,Male,Single,Research & Development,Research Scientist,2,Other,Bachelor,2025-10-17,Travel_Frequently,1,3860,20,1,0,0,0,0,0,3,5,3,1,3,4,3,3,No,No,
EMP00076,44,Male,Divorced,Sales,Sales Representative,3,Marketing,Below College,2019-09-03,Travel_Rarely,1,5693,24,1,22,6,2,1,5,3,2,1,3,2,3,3,4,No,No,
EMP00077,38,Male,Divorced,Sales,Sales Executive,2,Life Sciences,Master,2025-05-05,Travel_Rarely,3,4639,14,0,16,1,1,0,1,3,2,3,4,3,2,3,3,Yes,No,
EMP00078,34,Female,Married,Research & Development,Research Director,5,Other,Bachelor,2022-08-20,Travel_Rarely,3,16514,20,0,15,3,3,2,2,3,4,3,1,3,2,3,3,Yes,Yes,2024-03-16
EMP00079,38,Male,Divorced,Research & Development,Healthcare Representative,2,Life Sciences,College,2025-04-05,Non-Travel,9,4629,18,0,18,1,1,0,1,0,4,3,4,1,1,3,3,No,No,
EMP00080,19,Male,Married,Research & Development,Research Scientist,4,Medical,Bachelor,2026-07-25,Travel_Rarely,10,10989,16,1,0,0,0,0,0,1,1,2,2,3,3,3,3,No,No,
EMP00081,35,Female,Married,Research & Development,Healthcare Representative,3,Life Sciences,Master,2021-01-15,Travel_Rarely,1,8931,24,1,12,5,2,1,3,1,1,3,1,3,2,3,4,No,No,
EMP00082,40,Female,Single,Research & Development,Research Scientist,4,Other,Master,2015-10-24,Travel_Rarely,2,11696,12,2,21,10,4,3,3,0,3,3,3,2,4,1,4,Yes,No,
EMP00083,50,Male,Married,Research & Development,Laboratory Technician,5,Life Sciences,Bachelor,2020-10-26,Non-Travel,2,20000,15,1,31,5,3,1,1,2,1,3,4,2,2,3,3,Yes,No,
EMP00084,32,Female,Married,Research & Development,Research Director,1,Technical Degree,College,2019-09-01,Travel_Rarely,6,3231,19,2,9,6,4,3,6,3,4,3,3,2,3,4,3,No,No,
EMP00085,30,Male,Married,Research & Development,Research Director,1,Medical,Doctor,2019-11-23,Travel_Rarely,1,2687,16,0,9,6,2,1,2,1,2,2,3,1,4,2,4,Yes,Yes,2021-07-25
EMP00086,32,Male,Married,Research & Development,Laboratory Technician,3,Technical Degree,Bachelor,2018-12-05,Travel_Rarely,1,7524,16,1,13,7,3,2,6,2,1,3,4,1,4,3,4,Yes,No,
EMP00087,45,Male,Divorced,Sales,Manager,2,Other,Bachelor,2007-07-02,Travel_Frequently,20,6768,17,0,27,19,12,9,8,0,1,3,4,3,1,3,3,No,No,
EMP00088,40,Male,Single,Sales,Manager,4,Life Sciences,College,2026-05-31,Travel_Rarely,11,13251,23,0,19,0,0,0,0,3,0,2,1,2,4,3,3,Yes,No,
EMP00089,32,Female,Married,Research & Development,Research Scientist,1,Medical,Master,2020-06-22,Travel_Rarely,1,3575,21,1,14,6,4,2,4,2,3,2,4,1,4,3,3,No,No,
EMP00090,42,Male,Married,Sales,Sales Representative,3,Marketing,College,2019-11-02,Travel_Frequently,4,8015,15,1,20,6,3,2,2,1,1,3,4,3,4,3,3,No,Yes,2023-02-05
EMP00091,38,Male,Married,Research & Development,Healthcare Representative,1,Medical,College,2023-06-10,Travel_Rarely,3,2735,25,0,15,3,1,0,2,3,2,3,4,3,4,3,4,No,No,
EMP00092,46,Female,Married,Research & Development,Research Director,1,Technical Degree,Bachelor,2025-07-07,Travel_Rarely,11,3534,13,1,25,1,0,0,1,1,4,3,4,4,4,1,3,No,No,
EMP00093,31,Female,Single,Research & Development,Research Scientist,5,Technical Degree,College,2024-12-03,Travel_Rarely,5,19014,13,1,10,1,1,0,1,2,0,3,3,4,3,2,3,No,No,
EMP00094,34,Male,Single,Research & Development,Manager,1,Other,Bachelor,2020-10-24,Non-Travel,1,3416,15,2,14,5,2,1,3,2,2,3,2,4,4,3,3,No,No,
EMP00095,33,Female,Married,Human Resources,HR Business Partner,1,Other,Below College,2025-01-27,Travel_Frequently,9,2891,14,0,13,1,0,0,0,1,1,3,3,1,3,3,3,No,No,
EMP00096,24,Male,Married,Research & Development,Research Scientist,1,Technical Degree,Bachelor,2025-12-21,Travel_Frequently,4,2366,15,0,1,0,0,0,0,3,0,2,3,3,3,3,3,Yes,Yes,2026-05-30
EMP00097,40,Female,Single,Research & Development,Research Director,4,Other,College,2013-06-20,Non-Travel,2,12766,24,1,19,13,8,3,4,0,3,2,4,4,3,2,3,No,No,
EMP00098,39,Female,Married,Research & Development,Research Director,3,Other,Below College,2021-09-16,Non-Travel,3,9209,19,1,17,4,3,0,2,2,2,3,4,4,4,2,3,Yes,No,
EMP00099,37,Female,Married,Research & Development,Research Director,3,Life Sciences,College,2013-04-20,Non-Travel,5,8658,15,1,18,13,6,0,12,2,3,3,4,2,1,3,3,No,No,
EMP00100,35,Male,Married,Research & Development,Research Director,2,Technical Degree,Doctor,2025-05-21,Travel_Rarely,3,5244,14,1,12,1,0,0,1,3,3,3,4,3,4,3,3,No,No,
EMP00101,24,Male,Divorced,Research & Development,Laboratory Technician,2,Life Sciences,Master,2025-11-08,Travel_Rarely,2,4181,23,2,1,0,0,0,0,1,3,2,2,3,2,3,3,Yes,No,
EMP00102,33,Male,Single,Research & Development,Manufacturing Director,1,Technical Degree,College,2023-03-26,Travel_Rarely,4,3575,14,1,13,3,2,1,2,2,6,3,4,3,2,3,3,Yes,No,
EMP00103,34,Male,Single,Research & Development,Manager,1,Life Sciences,Master,2024-05-10,Travel_Rarely,1,3456,11,1,12,2,1,0,1,1,2,3,2,3,1,2,3,Yes,Yes,2025-07-12
EMP00104,30,Male,Married,Research & Development,Research Director,2,Life Sciences,Bachelor,2023-06-27,Travel_Frequently,10,3652,20,1,7,3,1,1,2,4,3,3,1,1,2,2,3,No,No,
EMP00105,36,Female,Married,Research & Development,Research Director,3,Medical,Doctor,2025-10-17,Travel_Rarely,1,8203,14,2,14,0,0,0,0,2,4,3,3,3,4,3,3,No,No,
EMP00106,41,Male,Married,Research & Development,Healthcare Representative,1,Life Sciences,Bachelor,2016-01-22,Non-Travel,1,3145,22,0,18,10,7,6,3,3,6,1,3,3,3,2,3,No,No,
EMP00107,54,Male,Divorced,Research & Development,Manufacturing Director,1,Medical,Bachelor,1997-08-27,Travel_Rarely,7,4183,24,1,34,28,16,4,24,1,3,2,4,2,3,2,3,Yes,No,
EMP00108,39,Female,Divorced,Research & Development,Research Scientist,1,Other,Below College,2022-01-31,Travel_Rarely,10,2637,14,1,20,4,2,1,3,1,1,3,3,4,1,2,4,Yes,Yes,2025-08-27
EMP00109,39,Male,Divorced,Research & Development,Manufacturing Director,2,Technical Degree,Bachelor,2010-10-14,Travel_Rarely,12,5562,19,0,19,15,4,2,3,5,0,3,4,4,4,3,3,Yes,No,
EMP00110,36,Female,Married,Research & Development,Manufacturing Director,1,Other,Doctor,2022-12-08,Travel_Rarely,5,2473,21,1,13,3,2,1,2,2,2,3,1,2,4,2,3,No,No,
EMP00111,20,Male,Married,Research & Development,Manager,1,Technical Degree,Bachelor,2025-11-29,Travel_Rarely,2,2463,14,0,0,0,0,0,0,2,5,3,4,1,3,3,3,No,No,
EMP00112,37,Male,Married,Research & Development,Manufacturing Director,1,Other,College,2014-08-21,Travel_Frequently,9,3512,17,0,19,11,9,1,5,1,3,2,4,3,2,4,3,No,No,
EMP00113,38,Male,Single,Research & Development,Manager,4,Technical Degree,College,2021-06-16,Travel_Frequently,8,10419,11,2,18,5,1,1,4,2,3,3,4,3,3,2,3,No,No,
EMP00114,59,Male,Married,Sales,Sales Executive,1,Marketing,Master,2022-01-05,Travel_Rarely,2,3160,24,0,37,4,3,1,4,2,3,1,2,3,3,3,3,Yes,No,
EMP00115,35,Female,Single,Research & Development,Research Director,4,Technical Degree,Bachelor,2017-06-15,Travel_Rarely,16,12094,17,1,15,9,5,4,7,1,2,3,4,4,2,1,3,No,No,
EMP00116,40,Male,Divorced,Research & Development,Laboratory Technician,2,Technical Degree,Bachelor,2023-07-24,Travel_Rarely,1,6650,24,0,17,3,2,1,3,3,1,3,3,4,4,2,3,No,No,
EMP00117,37,Male,Married,Research & Development,Manager,2,Other,Doctor,2024-09-03,Travel_Rarely,28,4379,12,1,15,1,1,1,1,1,6,3,4,3,4,3,3,No,Yes,2026-06-29
EMP00118,26,Male,Married,Research & Development,Manager,1,Other,Below College,2020-08-17,Travel_Rarely,14,2884,22,0,7,5,4,1,5,3,4,4,3,1,2,4,3,Yes,No,
EMP00119,47,Male,Married,Research & Development,Research Scientist,2,Other,College,2021-06-22,Travel_Frequently,8,4509,21,1,25,5,4,0,1,1,3,3,1,3,4,4,3,No,No,
EMP00120,44,Female,Single,Research & Development,Healthcare Representative,1,Medical,Master,2017-11-12,Travel_Rarely,20,3760,18,2,23,8,3,1,5,2,2,2,1,3,1,2,3,No,Yes,2018-12-12
EMP00121,44,Male,Single,Sales,Manager,1,Life Sciences,Bachelor,2022-06-26,Travel_Rarely,9,3025,11,0,26,4,3,2,1,0,3,2,2,4,3,2,3,No,No,
EMP00122,29,Female,Married,Research & Development,Research Scientist,4,Technical Degree,College,2026-07-28,Travel_Rarely,1,11222,20,0,6,0,0,0,0,2,0,2,4,2,3,4,3,No,No,
EMP00123,50,Female,Single,Research & Development,Manager,2,Technical Degree,Bachelor,2024-04-09,Travel_Frequently,4,5445,13,1,28,2,1,0,2,4,2,3,3,3,1,2,3,Yes,No,
EMP00124,24,Male,Married,Sales,Sales Executive,1,Marketing,Master,2026-03-12,Travel_Rarely,1,2435,18,0,1,0,0,0,0,0,2,3,4,3,1,3,3,No,No,
EMP00125,42,Female,Divorced,Sales,Sales Representative,2,Marketing,Below College,2018-11-13,Non-Travel,3,4149,20,0,22,7,2,0,5,1,2,3,3,3,2,1,3,No,No,
EMP00126,57,Male,Divorced,Research & Development,Healthcare Representative,2,Technical Degree,Doctor,2017-12-22,Travel_Rarely,9,5365,18,0,37,8,6,3,6,3,2,3,4,1,4,3,4,No,No,
EMP00127,28,Male,Married,Research & Development,Manager,3,Medical,Master,2022-11-02,Travel_Rarely,3,7510,21,1,6,3,1,0,1,1,1,2,2,4,4,3,3,Yes,No,
EMP00128,32,Male,Single,Sales,Sales Representative,2,Other,College,2025-05-28,Travel_Rarely,3,4315,23,2,11,1,1,1,0,4,4,3,1,3,3,3,3,No,No,
EMP00129,38,Female,Divorced,Human Resources,HR Business Partner,1,Human Resources,Master,2021-02-21,Travel_Rarely,6,3174,15,1,16,5,3,1,3,0,5,3,4,4,3,3,3,Yes,No,
EMP00130,32,Female,Divorced,Research & Development,Healthcare Representative,1,Medical,Bachelor,2024-04-30,Travel_Frequently,14,3667,15,1,13,2,1,1,1,2,1,2,4,2,3,2,3,Yes,Yes,2025-07-24
EMP00131,23,Male,Single,Research & Development,Laboratory Technician,2,Medical,Bachelor,2024-09-28,Travel_Rarely,1,5167,18,0,2,1,0,0,1,2,2,3,3,3,2,3,3,No,No,
EMP00132,38,Female,Married,Research & Development,Research Director,2,Life Sciences,Master,2013-07-13,Travel_Frequently,3,3958,20,2,15,13,7,2,8,1,4,3,2,4,4,3,3,Yes,No,
EMP00133,27,Male,Single,Research & Development,Research Scientist,2,Technical Degree,Doctor,2024-10-26,Travel_Rarely,1,5865,15,0,5,1,0,0,1,1,4,1,1,4,3,2,4,No,No,
EMP00134,41,Male,Divorced,Research & Development,Manufacturing Director,3,Other,College,2025-08-04,Travel_Frequently,8,9394,19,3,18,1,0,0,0,4,3,3,3,4,2,2,3,Yes,No,
EMP00135,29,Male,Divorced,Research & Development,Manager,3,Technical Degree,Bachelor,2020-10-03,Travel_Rarely,1,7996,11,0,11,5,4,1,3,3,4,2,3,1,1,2,3,No,No,
EMP00136,51,Female,Single,Research & Development,Research Director,2,Technical Degree,Bachelor,2008-05-04,Travel_Rarely,8,5733,15,2,30,18,11,7,4,4,1,1,3,3,4,2,3,Yes,No,
EMP00137,30,Female,Divorced,Sales,Sales Representative,4,Marketing,Bachelor,2023-04-19,Travel_Rarely,2,8966,13,1,8,3,1,0,3,1,4,2,3,1,1,4,3,No,No,
EMP00138,34,Male,Married,Research & Development,Healthcare Representative,1,Medical,Bachelor,2021-03-10,Travel_Rarely,2,2661,13,0,16,5,4,1,2,3,4,3,3,2,4,3,3,No,No,
EMP00139,44,Male,Divorced,Sales,Sales Executive,2,Marketing,Below College,2022-11-21,Travel_Rarely,19,4714,12,3,22,3,1,0,3,2,4,2,1,1,2,3,3,Yes,Yes,2024-02-17
EMP00140,26,Male,Married,Sales,Manager,5,Other,Bachelor,2018-12-13,Travel_Rarely,1,15887,13,0,7,7,3,0,5,1,5,3,3,3,3,3,3,No,No,
